District,Year,Season,Crop,Land Area (ha),Rainfall (mm),Temperature (°C),Humidity (%),Irrigation (%),Fertilizer Usage (kg/ha),Yield (t/ha)
Prakasam,2022,Kharif,Sugarcane,2179.05,596.21,32.88,72.82,43.65,98.95,1.2
West Godavari,2024,Kharif,Pulses,2831.05,1237.83,29.85,74.38,63.38,108.12,3.24
Visakhapatnam,2021,Rabi,Groundnut,6145.53,862.5,35.0,57.72,34.86,139.53,0.99
Nellore,2022,Kharif,Chili,2839.59,736.84,25.99,79.53,98.24,137.76,2.36
Kadapa,2023,Rabi,Maize,7228.53,446.1,28.63,79.91,83.91,194.93,2.18
Krishna,2023,Rabi,Chili,5855.08,1593.83,30.45,54.44,70.34,100.87,3.42
Nellore,2023,Kharif,Sugarcane,9794.32,1205.13,31.88,56.84,76.77,160.38,2.13
Krishna,2020,Kharif,Maize,9650.05,1558.81,28.08,54.59,70.81,144.58,2.75
Chittoor,2020,Kharif,Groundnut,1492.69,693.97,34.11,64.81,99.05,111.82,3.02
Kurnool,2020,Rabi,Pulses,933.19,1116.22,30.92,89.6,52.56,132.73,0.9
Vizianagaram,2022,Rabi,Maize,3517.37,954.58,24.49,63.18,89.77,83.64,2.72
Nellore,2020,Rabi,Rice,3460.76,777.38,27.54,75.99,77.09,152.44,3.19
East Godavari,2020,Rabi,Pulses,8774.24,1136.01,29.93,55.55,60.04,147.24,3.12
Nellore,2021,Rabi,Pulses,2028.21,1128.31,34.28,76.22,43.84,174.7,1.74
Prakasam,2020,Kharif,Sugarcane,6612.22,794.78,30.52,76.61,58.08,129.97,1.3
Anantapur,2022,Kharif,Sugarcane,5909.64,796.56,37.58,89.47,40.6,166.34,0.7
Nellore,2022,Rabi,Chili,2662.86,794.5,29.19,85.39,42.99,178.98,1.88
Krishna,2020,Rabi,Cotton,9479.27,1389.73,29.33,65.88,45.27,117.74,3.18
Guntur,2020,Kharif,Maize,7154.15,1365.03,30.84,82.53,99.56,173.69,3.6
Vizianagaram,2023,Kharif,Groundnut,8091.76,1012.66,33.39,82.21,76.8,88.87,3.44
Guntur,2020,Kharif,Sugarcane,6437.35,1232.32,30.16,73.96,65.18,174.13,2.1
Srikakulam,2021,Rabi,Rice,3894.59,1354.82,26.2,80.01,78.86,164.39,3.99
Chittoor,2020,Rabi,Chili,700.09,880.16,26.7,79.42,53.25,90.6,1.58
Krishna,2020,Rabi,Chili,3533.13,1417.15,32.8,60.81,91.69,196.66,5.23
Kurnool,2020,Kharif,Maize,9348.59,846.89,29.07,68.84,89.23,177.32,2.46
Anantapur,2021,Rabi,Chili,848.89,377.15,38.86,57.65,74.72,84.09,0.46
Vizianagaram,2023,Rabi,Maize,8536.89,755.22,31.79,65.93,74.81,139.86,1.87
East Godavari,2020,Kharif,Pulses,7759.83,1057.63,33.82,84.42,52.89,184.3,2.17
Anantapur,2023,Rabi,Rice,7951.23,713.64,28.84,78.7,71.46,94.47,1.02
Krishna,2021,Rabi,Groundnut,6765.31,1035.4,26.59,64.41,62.64,120.14,2.79
Anantapur,2023,Rabi,Maize,3805.96,562.17,37.19,62.34,40.65,108.54,0.28
Visakhapatnam,2022,Kharif,Pulses,5365.96,1240.03,34.3,76.78,40.59,152.02,1.43
Krishna,2022,Kharif,Groundnut,7141.06,967.42,30.79,72.79,53.3,194.6,1.84
Nellore,2021,Rabi,Maize,691.41,689.21,32.37,81.93,56.55,86.61,1.85
Visakhapatnam,2021,Kharif,Rice,5406.37,1040.13,33.58,80.57,70.39,166.52,2.25
Chittoor,2020,Kharif,Sugarcane,2497.36,714.28,32.46,86.73,71.84,100.9,2.3
Krishna,2024,Kharif,Chili,7060.72,1383.62,29.09,84.46,52.33,113.71,2.92
Vizianagaram,2020,Kharif,Sugarcane,7049.24,711.63,33.05,87.46,56.67,168.89,2.47
Prakasam,2020,Rabi,Chili,2230.32,512.57,28.31,86.44,75.84,137.79,1.23
Kurnool,2024,Kharif,Groundnut,6312.72,845.9,31.08,82.23,91.76,80.21,2.27
Krishna,2024,Kharif,Sugarcane,9818.29,1360.08,32.0,86.93,93.57,141.8,3.88
Kadapa,2020,Kharif,Pulses,5026.12,659.79,37.72,72.7,42.55,197.57,0.89
Visakhapatnam,2020,Rabi,Groundnut,3218.22,1195.38,34.19,89.03,40.92,94.27,1.17
West Godavari,2023,Rabi,Maize,4779.44,1113.65,27.93,51.31,67.45,104.85,2.74
Nellore,2020,Rabi,Maize,9386.67,1251.27,35.32,53.05,56.27,108.23,1.59
Anantapur,2024,Rabi,Tobacco,7879.15,686.0,34.54,82.36,89.82,191.18,1.16
Vizianagaram,2024,Rabi,Pulses,532.74,749.28,25.99,89.45,79.41,90.17,3.44
Kurnool,2022,Rabi,Maize,4131.34,915.8,35.95,58.33,72.05,199.9,1.49
Chittoor,2024,Kharif,Cotton,7962.4,663.01,32.54,53.31,46.64,82.34,1.56
Anantapur,2021,Rabi,Maize,3295.5,584.22,28.06,54.08,96.77,177.2,1.61
Visakhapatnam,2022,Kharif,Cotton,3693.07,1217.42,34.64,79.12,65.73,164.56,1.55
Srikakulam,2022,Kharif,Cotton,5143.67,836.02,27.61,78.16,99.48,94.94,4.13
Chittoor,2022,Rabi,Chili,8075.46,557.48,33.4,67.81,83.74,100.6,2.69
Kurnool,2021,Rabi,Maize,3815.3,661.88,35.36,60.49,68.19,146.46,1.27
Nellore,2020,Rabi,Groundnut,2831.64,665.2,27.79,60.92,56.31,96.84,1.4
Anantapur,2020,Kharif,Pulses,4260.97,685.49,28.95,80.14,72.82,111.55,0.64
Guntur,2022,Kharif,Rice,5106.63,1446.59,29.78,60.76,31.87,148.02,1.26
Prakasam,2022,Kharif,Groundnut,5398.0,1085.7,30.33,55.03,97.7,97.94,1.27
Krishna,2024,Rabi,Sugarcane,1256.75,962.34,30.0,69.33,58.73,88.6,2.7
Kurnool,2021,Kharif,Chili,3060.56,836.44,28.74,58.15,47.83,177.72,1.12
Kadapa,2024,Rabi,Tobacco,1290.54,861.74,33.06,72.71,43.28,138.74,1.1
Srikakulam,2022,Rabi,Rice,4788.74,1240.76,28.88,64.6,63.97,174.58,2.86
Prakasam,2022,Rabi,Pulses,9730.83,963.51,33.37,64.91,47.84,194.35,1.42
West Godavari,2024,Kharif,Groundnut,6233.78,1465.18,32.44,60.83,57.99,157.49,2.31
Visakhapatnam,2021,Rabi,Tobacco,6523.72,1327.34,24.32,83.08,67.66,104.78,2.97
Guntur,2021,Rabi,Cotton,6076.38,1362.29,28.36,89.31,91.57,91.93,2.5
Kurnool,2024,Rabi,Rice,3607.25,535.68,31.26,71.07,51.53,175.69,0.66
Chittoor,2020,Kharif,Tobacco,8468.86,518.42,37.66,85.08,30.34,99.97,0.96
Kadapa,2021,Kharif,Maize,5813.09,436.65,33.96,63.06,39.27,193.53,0.5
Visakhapatnam,2023,Kharif,Maize,3634.56,1250.22,25.65,78.77,98.02,194.46,4.42
Chittoor,2020,Kharif,Pulses,7896.48,705.99,33.54,54.15,69.9,100.41,2.11
Nellore,2024,Rabi,Maize,5361.42,1022.18,34.88,87.7,73.1,109.6,3.15
West Godavari,2023,Kharif,Groundnut,9872.48,1724.91,25.22,57.1,33.78,155.3,1.97
Kadapa,2020,Kharif,Pulses,6522.8,827.03,37.25,58.53,96.04,101.82,1.76
West Godavari,2021,Rabi,Maize,5518.83,1622.75,33.05,65.4,70.65,81.12,2.73
Anantapur,2022,Kharif,Groundnut,4693.24,329.45,38.19,63.56,34.53,114.11,0.29
East Godavari,2021,Rabi,Tobacco,5296.86,1183.53,24.11,61.76,67.13,143.64,3.72
Anantapur,2024,Kharif,Sugarcane,4204.95,534.4,37.3,51.98,52.99,87.75,0.32
Visakhapatnam,2021,Rabi,Cotton,7863.76,1050.79,28.11,80.43,34.54,135.79,1.5
Srikakulam,2022,Kharif,Rice,7592.15,1605.01,30.39,55.85,62.73,84.9,3.29
Kurnool,2021,Kharif,Chili,7131.2,1104.77,32.39,78.99,67.73,182.9,2.21
Prakasam,2022,Kharif,Groundnut,6392.46,818.67,27.37,80.19,83.05,176.37,2.55
Visakhapatnam,2023,Kharif,Rice,7661.68,952.39,33.69,65.91,44.36,192.97,1.71
Krishna,2023,Rabi,Maize,3409.27,1399.15,31.06,51.4,57.11,158.39,2.2
Visakhapatnam,2024,Kharif,Tobacco,9013.26,744.48,30.23,53.79,48.24,85.08,1.81
Nellore,2022,Rabi,Cotton,4060.48,797.9,25.34,64.82,96.81,103.56,2.38
Kadapa,2022,Rabi,Pulses,523.04,409.76,37.35,89.35,45.87,125.0,0.71
Nellore,2024,Rabi,Tobacco,3538.78,1037.09,34.41,68.94,81.72,191.89,2.43
Nellore,2020,Kharif,Maize,6059.47,723.07,31.72,62.11,64.95,108.66,2.5
Nellore,2024,Kharif,Rice,9164.68,1037.64,34.04,62.99,47.18,83.94,1.96
Kadapa,2022,Rabi,Sugarcane,2598.88,508.55,35.88,72.0,94.31,95.2,1.17
Srikakulam,2020,Kharif,Rice,6008.93,946.63,29.86,54.09,57.88,186.43,2.91
Krishna,2023,Kharif,Groundnut,8102.04,1171.31,26.66,56.09,74.13,98.66,4.43
Guntur,2020,Rabi,Maize,2320.25,982.13,30.05,69.15,70.87,131.16,2.73
West Godavari,2021,Rabi,Rice,4801.51,1353.18,29.62,56.75,86.97,117.66,3.33
West Godavari,2021,Rabi,Tobacco,2945.0,1306.25,31.29,76.51,73.3,111.43,4.16
Krishna,2023,Rabi,Sugarcane,7977.49,1516.91,31.74,84.85,71.32,108.73,2.88
Prakasam,2023,Kharif,Pulses,9875.16,624.67,28.78,70.54,76.94,96.38,1.0
Nellore,2024,Kharif,Maize,6036.96,874.61,30.04,53.47,75.2,145.38,3.25
Chittoor,2024,Rabi,Maize,8849.17,927.7,33.18,50.25,87.15,103.06,2.54
Krishna,2023,Rabi,Chili,5778.46,1317.82,28.16,65.45,32.53,136.58,1.3
West Godavari,2022,Kharif,Groundnut,1637.13,1796.95,25.41,89.3,52.44,185.79,2.82
West Godavari,2023,Rabi,Chili,1334.61,1589.24,29.52,53.52,86.81,195.16,5.09
Prakasam,2021,Kharif,Rice,586.43,975.15,32.4,70.37,75.3,99.37,1.72
Vizianagaram,2022,Rabi,Sugarcane,7724.42,1483.92,25.33,53.94,62.16,170.6,1.8
Nellore,2021,Kharif,Maize,1504.5,706.7,35.55,62.72,98.92,145.86,3.02
Krishna,2020,Rabi,Rice,6441.63,1573.26,26.77,82.63,34.09,142.62,1.94
Anantapur,2024,Rabi,Groundnut,1838.56,647.86,30.14,75.68,85.59,138.53,1.03
Chittoor,2021,Kharif,Chili,8545.71,452.53,37.91,77.22,86.05,132.46,2.39
Kurnool,2023,Rabi,Chili,3257.29,984.65,32.72,87.72,86.39,90.59,1.48
West Godavari,2024,Rabi,Sugarcane,2494.09,1762.76,31.61,52.57,87.59,168.48,3.51
Kadapa,2021,Kharif,Groundnut,957.1,944.56,34.06,74.84,42.59,160.07,0.96
Srikakulam,2022,Kharif,Maize,9221.02,1255.52,26.95,71.59,67.69,129.52,2.79
Anantapur,2020,Rabi,Chili,6016.44,625.78,33.39,64.55,63.8,103.03,0.61
East Godavari,2024,Kharif,Groundnut,7639.0,1468.47,31.55,89.65,43.19,128.19,2.79
East Godavari,2024,Rabi,Chili,2393.34,1180.51,25.83,72.52,92.7,148.32,6.0
East Godavari,2020,Rabi,Chili,2129.75,1357.08,31.61,72.07,76.75,106.42,2.7
Kadapa,2022,Rabi,Cotton,9787.78,813.81,35.41,88.23,41.38,175.29,1.14
West Godavari,2024,Rabi,Rice,9627.23,1119.61,29.5,59.06,37.17,147.56,1.35
Prakasam,2024,Rabi,Groundnut,6241.73,823.17,35.54,86.81,99.12,183.31,1.89
Kurnool,2021,Kharif,Chili,5213.02,1138.07,32.88,59.61,92.11,194.24,1.66
Nellore,2021,Kharif,Groundnut,7269.24,771.63,28.07,54.99,63.61,109.06,2.44
East Godavari,2021,Rabi,Sugarcane,7199.82,1012.51,28.63,56.45,63.0,172.0,2.75
Guntur,2022,Kharif,Maize,4246.96,1355.11,27.59,73.73,79.32,152.75,1.88
Chittoor,2021,Kharif,Cotton,2348.45,957.23,27.51,56.02,93.05,179.69,2.94
East Godavari,2020,Rabi,Chili,2603.77,1038.04,24.71,50.02,77.4,177.32,2.64
East Godavari,2020,Kharif,Pulses,5786.28,1119.91,28.2,58.15,60.04,117.37,2.12
Chittoor,2020,Kharif,Tobacco,4879.71,861.84,37.45,68.82,55.21,111.91,1.26
Krishna,2024,Kharif,Maize,3211.35,968.09,26.42,70.57,70.95,98.83,2.61
Kadapa,2024,Rabi,Pulses,1879.14,695.22,37.86,60.64,64.73,112.26,1.0
Prakasam,2022,Rabi,Cotton,856.31,947.68,30.36,89.94,84.65,184.12,2.72
Kadapa,2020,Rabi,Pulses,8189.78,948.68,33.43,53.16,46.89,123.03,1.12
Guntur,2023,Rabi,Pulses,9838.24,855.11,27.98,67.76,43.46,118.38,1.22
Guntur,2024,Rabi,Cotton,7280.29,1470.73,29.33,86.85,37.39,145.21,1.5
Kurnool,2023,Rabi,Chili,5656.18,715.91,37.17,70.32,61.02,152.68,0.85
West Godavari,2021,Rabi,Sugarcane,7704.56,1316.01,27.58,63.87,74.6,170.93,3.75
Prakasam,2023,Rabi,Maize,1972.86,550.46,36.76,67.98,78.28,97.75,1.58
Krishna,2022,Kharif,Groundnut,715.14,1393.86,32.07,50.67,89.94,188.83,5.76
East Godavari,2020,Rabi,Cotton,7305.6,1101.16,30.6,68.9,50.25,175.63,2.68
Kurnool,2023,Kharif,Chili,8727.23,519.85,36.85,70.4,53.39,183.54,1.48
Srikakulam,2020,Kharif,Cotton,4700.59,1193.22,29.36,51.77,70.87,165.83,2.73
Krishna,2020,Kharif,Groundnut,6989.27,1233.89,32.03,73.79,42.81,131.23,1.94
Krishna,2021,Rabi,Cotton,5149.44,1348.4,33.8,85.49,60.98,83.42,4.0
West Godavari,2023,Kharif,Groundnut,4559.25,1089.75,27.08,77.2,62.41,110.18,2.72
West Godavari,2022,Rabi,Sugarcane,3265.19,1572.02,29.96,79.69,70.0,185.27,2.98
Guntur,2023,Kharif,Chili,9828.94,1182.76,30.32,89.78,78.95,93.23,1.91
Guntur,2020,Kharif,Tobacco,2730.13,1283.69,32.56,84.74,69.05,120.32,2.37
West Godavari,2022,Rabi,Cotton,2693.4,1671.34,28.69,63.36,79.84,101.57,3.54
Srikakulam,2024,Kharif,Pulses,4451.52,1505.87,24.22,83.58,69.1,184.54,3.95
Vizianagaram,2024,Kharif,Rice,2363.5,1431.2,30.83,62.53,49.48,157.15,1.71
Visakhapatnam,2020,Kharif,Groundnut,2286.96,1107.92,29.88,66.35,52.35,87.18,1.67
West Godavari,2021,Rabi,Cotton,1351.15,1727.05,27.22,77.19,81.05,181.74,4.48
West Godavari,2022,Kharif,Groundnut,4606.67,1025.13,29.12,69.41,88.06,93.39,4.26
Kadapa,2021,Rabi,Rice,5399.8,539.66,35.58,66.23,84.83,87.52,1.06
East Godavari,2023,Rabi,Groundnut,7899.83,1727.17,26.38,65.81,39.41,115.16,2.71
East Godavari,2020,Rabi,Rice,9046.01,1360.64,33.4,52.07,52.83,125.75,3.48
Kurnool,2020,Rabi,Maize,9926.54,1024.18,29.99,87.16,53.63,143.05,1.56
Krishna,2020,Kharif,Pulses,5479.09,1436.88,29.07,89.84,63.76,169.62,3.52
Prakasam,2024,Kharif,Rice,3076.91,553.13,33.02,52.37,35.66,163.66,0.65
Nellore,2023,Rabi,Pulses,7168.16,749.05,30.2,52.1,88.37,171.67,2.51
Kurnool,2022,Rabi,Rice,1537.86,1185.98,37.1,72.84,72.6,119.51,1.28
Srikakulam,2021,Rabi,Cotton,7001.85,1381.46,29.98,89.86,78.12,92.51,3.69
East Godavari,2021,Rabi,Pulses,8785.41,1157.51,25.27,67.93,36.99,170.3,2.45
Prakasam,2023,Rabi,Maize,7851.87,497.59,36.54,77.41,51.99,86.23,1.11
Kadapa,2020,Rabi,Chili,5355.08,738.56,28.86,63.45,68.49,178.62,1.23
Nellore,2023,Rabi,Sugarcane,510.67,1159.1,30.71,81.62,95.94,130.32,3.98
Krishna,2020,Rabi,Chili,4951.2,1124.31,27.27,83.24,83.13,151.61,3.95
Vizianagaram,2021,Rabi,Sugarcane,4304.01,1444.11,27.52,66.02,30.12,188.81,0.83
Chittoor,2022,Kharif,Tobacco,9439.2,505.26,26.39,70.24,47.41,179.4,1.09
Nellore,2023,Kharif,Groundnut,1788.18,891.95,33.51,78.57,49.8,141.16,1.48
West Godavari,2024,Rabi,Sugarcane,1051.4,1661.63,28.63,74.65,32.96,199.15,1.87
Visakhapatnam,2022,Rabi,Chili,3817.29,925.31,26.28,87.61,30.92,194.23,1.08
Kadapa,2021,Kharif,Sugarcane,1725.61,570.5,35.19,50.5,67.29,139.22,1.02
Nellore,2023,Rabi,Cotton,3885.05,733.1,28.25,74.58,37.06,171.53,0.93
Nellore,2020,Rabi,Rice,948.56,1231.58,30.99,70.86,41.82,171.26,1.19
Nellore,2023,Rabi,Groundnut,8721.82,1203.63,31.96,85.98,74.94,121.77,2.17
Guntur,2021,Kharif,Pulses,5599.14,1169.73,32.37,83.63,69.94,162.26,2.6
Kadapa,2022,Kharif,Rice,7588.19,733.19,29.88,52.47,61.01,121.04,0.73
Kadapa,2023,Kharif,Sugarcane,6834.06,616.22,37.82,87.52,38.43,192.8,1.04
Krishna,2021,Rabi,Groundnut,4753.3,1389.25,29.51,73.16,45.35,133.6,3.02
Guntur,2022,Kharif,Pulses,1864.37,1171.03,32.96,52.34,75.47,135.65,3.42
West Godavari,2023,Kharif,Cotton,4815.74,1606.55,26.93,58.76,48.71,167.52,2.04
Srikakulam,2024,Kharif,Cotton,7694.12,1155.08,32.47,64.31,89.12,183.54,4.82
Chittoor,2020,Rabi,Sugarcane,6276.46,904.06,35.73,71.06,69.92,104.43,2.22
Guntur,2023,Kharif,Tobacco,3999.22,1116.4,28.26,83.63,35.4,157.83,1.09
Nellore,2022,Kharif,Pulses,8198.77,817.13,26.14,86.76,76.98,80.84,3.08
Guntur,2022,Rabi,Cotton,1184.63,1466.64,34.97,62.24,87.46,98.94,3.7
Visakhapatnam,2024,Rabi,Pulses,7403.07,1242.97,33.57,60.42,60.35,131.7,1.95
Kadapa,2024,Rabi,Groundnut,3644.87,566.49,36.28,84.52,61.36,101.02,0.72
Nellore,2024,Kharif,Cotton,5313.93,702.1,29.85,56.33,86.34,80.21,2.67
Srikakulam,2024,Kharif,Tobacco,5129.69,1083.8,27.03,58.08,90.45,139.78,3.73
East Godavari,2020,Kharif,Maize,1168.32,1729.99,24.89,53.59,67.04,119.76,3.1
Anantapur,2022,Kharif,Cotton,892.92,577.85,35.57,74.68,83.35,112.15,1.45
Chittoor,2020,Kharif,Maize,753.33,709.71,33.69,66.12,60.17,128.15,0.75
Nellore,2023,Rabi,Tobacco,3429.41,707.51,30.52,53.68,81.81,158.46,2.89
Kadapa,2021,Kharif,Rice,5274.55,732.4,31.89,68.96,59.72,174.48,0.94
Anantapur,2023,Rabi,Groundnut,6237.36,481.88,36.43,76.75,70.14,132.75,1.19
Vizianagaram,2022,Rabi,Tobacco,2609.19,700.43,33.78,71.25,57.47,196.73,1.69
West Godavari,2020,Rabi,Tobacco,2253.41,1234.69,31.43,83.23,62.53,86.44,2.98
Chittoor,2020,Rabi,Cotton,9619.48,917.97,26.87,87.46,59.71,123.83,1.2
Nellore,2020,Kharif,Maize,2404.85,677.75,35.29,60.57,36.45,183.47,1.14
Prakasam,2024,Kharif,Tobacco,4156.66,1013.6,34.08,63.53,85.23,166.98,1.69
Guntur,2020,Kharif,Cotton,4553.23,1387.36,32.27,54.77,72.47,103.17,1.99
Kadapa,2024,Kharif,Rice,3900.4,665.55,35.24,71.02,78.09,138.67,1.87
Guntur,2021,Rabi,Sugarcane,7736.62,1225.53,28.49,70.33,59.72,102.35,2.39
Prakasam,2021,Rabi,Cotton,9855.29,885.39,27.6,79.52,42.72,178.96,0.86
Srikakulam,2022,Rabi,Maize,3814.07,928.47,30.42,71.5,57.84,163.87,2.62
Visakhapatnam,2021,Rabi,Cotton,5123.46,856.66,28.12,68.48,36.79,123.55,0.85
Kadapa,2020,Kharif,Pulses,6603.31,742.05,35.04,56.93,57.59,119.42,0.96
East Godavari,2023,Rabi,Rice,1548.84,1737.0,29.41,65.06,37.67,173.56,1.63
Chittoor,2021,Rabi,Rice,6982.94,479.73,29.24,70.12,33.97,107.46,0.76
Nellore,2020,Rabi,Tobacco,2683.9,933.32,26.72,79.06,76.92,162.65,2.14
West Godavari,2022,Kharif,Cotton,6851.56,1153.35,31.03,61.85,53.7,131.62,1.92
East Godavari,2021,Kharif,Chili,4157.42,1050.57,33.49,82.27,47.19,94.17,3.09
Nellore,2024,Rabi,Cotton,1867.8,654.41,30.26,66.58,60.82,191.68,2.45
Visakhapatnam,2021,Rabi,Maize,3384.02,968.38,27.33,63.23,43.58,114.81,1.27
West Godavari,2024,Rabi,Chili,2836.2,1131.15,31.73,86.4,79.86,85.14,3.32
Vizianagaram,2023,Rabi,Sugarcane,8280.33,976.21,33.25,65.95,53.0,115.71,1.8
